,Domain,Experiment Name,Seed,Micro F1,Macro F1,Weighted F1
0,ai,CrossRE-main,8.025019377157757e+18,46.11353711790393,30.33964958185617,39.229671519054776
1,ai,DomainDatasetEmbedCrossRE,8.025019377157757e+18,42.79475982532752,26.2858077996522,36.34282211187987
2,ai,DomainTagCrossRE,8.025019377157757e+18,48.506550218340614,33.873128458976794,43.74265558918984
3,literature,CrossRE-main,8.025019377157757e+18,67.72104607721046,39.27412126278991,62.96934595049034
4,literature,DomainDatasetEmbedCrossRE,8.025019377157757e+18,62.54047322540473,34.15975786967633,58.60554865078315
5,literature,DomainTagCrossRE,8.025019377157757e+18,68.51805728518056,41.026786350637416,64.28168616886192
6,music,CrossRE-main,8.025019377157757e+18,73.13948588284872,36.96864768963327,69.25951653407462
7,music,DomainDatasetEmbedCrossRE,8.025019377157757e+18,69.63337547408344,32.2312654226161,65.89317396968532
8,music,DomainTagCrossRE,8.025019377157757e+18,74.95153813737883,39.668874856515316,71.54993626463252
9,news,CrossRE-main,8.025019377157757e+18,50.45454545454545,14.376489063438424,44.448966260115434
10,news,DomainDatasetEmbedCrossRE,8.025019377157757e+18,51.36363636363636,13.693183562635554,46.247936097581615
11,news,DomainTagCrossRE,8.025019377157757e+18,48.78787878787879,15.223591876040615,42.71201603641222
12,politics,CrossRE-main,8.025019377157757e+18,58.4070796460177,26.400887094137158,54.0784365243475
13,politics,DomainDatasetEmbedCrossRE,8.025019377157757e+18,57.152970922882425,24.283111466234708,52.89391399097356
14,politics,DomainTagCrossRE,8.025019377157757e+18,58.11378002528445,29.348402601239655,54.228288041424356
15,science,CrossRE-main,8.025019377157757e+18,44.86429326753613,32.7873534621656,41.301827513962984
16,science,DomainDatasetEmbedCrossRE,8.025019377157757e+18,40.36658442016214,29.337647153822775,37.141118145342276
17,science,DomainTagCrossRE,8.025019377157757e+18,47.51498061332394,36.40030864678052,44.29129731849786
